age,gender,height,weight,activity_type,weight_category,calories
29,Female,147.2,63.2,Walking,Overweight,1717
31,Female,157.4,62,Cycling,Overweight,1636
40,Male,171.5,80.8,Gym,Overweight,1971
25,Female,169.6,83.8,HIIT,Overweight,1943
48,Male,178.7,71.7,Yoga,Normal,2095
25,Male,148.3,65.3,Gym,Overweight,1899
68,Female,178.3,48.5,Cycling,Underweight,2713
66,Female,154.5,94.6,Gym,Obese,1381
45,Female,161.8,54.3,Gym,Normal,2140
55,Female,159,86.2,Gym,Obese,1431
45,Female,156.7,77,Walking,Obese,1677
64,Female,169.2,60.3,Gym,Normal,2382
49,Male,157.8,46.1,Walking,Underweight,2693
47,Male,177.3,76.7,Running,Normal,2016
47,Female,181.4,82.5,Cycling,Overweight,1992
25,Male,154.1,83.3,HIIT,Obese,1650
68,Female,165.3,65.5,HIIT,Normal,2150
29,Female,162.2,91.4,Cycling,Obese,1686
33,Female,161.8,62,Walking,Normal,2061
56,Male,176.3,47.3,Cycling,Underweight,2712
69,Female,167.2,83.2,Yoga,Overweight,1905
52,Male,148.8,94.5,Cycling,Obese,1560
38,Male,164.8,70,Yoga,Overweight,1874
56,Male,153.1,90.8,Cycling,Obese,1590
65,Male,178.6,45.4,Walking,Underweight,2488
60,Male,151.6,49.5,HIIT,Normal,2212
52,Female,183.2,47.5,HIIT,Underweight,2671
63,Female,151.5,83,HIIT,Obese,1351
44,Male,178,58.9,Cycling,Normal,2311
51,Female,184.4,83.5,Yoga,Normal,2280
36,Female,154.5,95.8,Cycling,Obese,1491
43,Female,148.9,75.8,Gym,Obese,1528
46,Male,172.4,69,Gym,Normal,2290
32,Male,151.1,98.1,Running,Obese,1371
45,Female,164.1,95.1,HIIT,Obese,1675
31,Male,151.4,45.5,Yoga,Normal,2092
21,Male,184.4,91.5,Yoga,Overweight,1724
46,Female,148.5,47.4,Walking,Normal,2306
48,Female,164.6,90.2,HIIT,Obese,1614
68,Female,151.8,74.5,Walking,Obese,1525
44,Male,171,45.2,Running,Underweight,2691
20,Female,168.1,46.2,Walking,Underweight,2687
61,Male,159.8,69.7,Walking,Overweight,1627
57,Male,154.8,47.4,Walking,Normal,2194
23,Male,168.2,72.4,Cycling,Overweight,1606
40,Male,157.1,76.1,Walking,Obese,1577
55,Male,177.7,53.7,Gym,Underweight,2411
37,Female,161.7,77.6,Gym,Overweight,1868
32,Female,172,55.5,Yoga,Normal,2385
62,Female,167.5,86.1,HIIT,Obese,1670
51,Male,167.1,71.4,Cycling,Overweight,1685
62,Female,158.2,88.4,Walking,Obese,1475
40,Male,157.7,76.4,Gym,Obese,1689
29,Male,177.6,45.8,Gym,Underweight,2544
23,Female,163.4,69.8,HIIT,Overweight,1685
26,Female,165.4,58.8,HIIT,Normal,2349
61,Female,157.5,79.3,Walking,Obese,1408
54,Female,157.4,75.2,Cycling,Obese,1512
41,Female,180.1,85.2,HIIT,Overweight,1947
63,Male,183.1,62.4,Yoga,Normal,2144
39,Male,173.8,99.3,Gym,Obese,1331
48,Female,166.8,86.6,Walking,Obese,1587
22,Male,150.4,66.7,Running,Overweight,1627
38,Female,176,98.6,Yoga,Obese,1339
48,Male,179.5,94.9,Running,Overweight,1972
68,Female,151.5,94.9,Cycling,Obese,1490
46,Female,167.5,48.6,Gym,Underweight,2642
46,Female,179.6,59,HIIT,Underweight,2695
27,Male,165.7,48.7,Cycling,Underweight,2505
55,Female,154.8,82.4,Cycling,Obese,1302
61,Female,160.6,53.6,Running,Normal,2000
51,Male,165.8,97,HIIT,Obese,1537
59,Male,148.9,56.8,HIIT,Overweight,1782
36,Male,160.5,45.7,HIIT,Underweight,2547
